"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"339","FDI5.10",NA,NA,"FDI5","ZF1092","sp.25","1/0/1900 0:00","",0
"340","FDI6.10",NA,NA,"FDI6","ZF1092","sp.25","1/0/1900 0:00","",0
"341","FDI7.10",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"342","FDI8.10",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"343","FDI9.10",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"344","FDI10.10",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"345","FDI11.10",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
"346","FDI12.10",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"347","FDI14.10",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"348","FDI16.10",NA,NA,"FDI16","SB454","sulstoni","1/0/1900 0:00","",0
"349","FDI19.10",NA,NA,"FDI19","JU724","latens","1/0/1900 0:00","",0
"350","FDI20.10",NA,NA,"FDI20","JU724","latens","1/0/1900 0:00","",0
"351","FDI21.10",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"352","FDI22.10",NA,NA,"FDI22","JU724","latens","1/0/1900 0:00","",0
"353","FDI23.10",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"354","FDI24.10",NA,NA,"FDI24","JU4093","sp.65","1/0/1900 0:00","",0
"355","FDI25.10",NA,NA,"FDI25","JU4093","sp.65","1/0/1900 0:00","",0
"356","FDI26.10",NA,NA,"FDI26","JU4093","sp.65","1/0/1900 0:00","",0
"357","FDI27.10",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"358","FDI28.10",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
"359","FDI29.10",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"360","FDI30.10",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"361","FDI31.10",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"362","FDI32.10",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"363","FDI33.10",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"364","FDI34.10",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
